intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
35400,0.009636586361780318,0.20569436374201047,0.009636586361780318,0.008610293356570133,20.2090395480226,3.0,76.20068157889949,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,ivig_896	VIRSorter_QSCL01000001_1_Bacteroides_uniformis_strain_OF03-17_OF03-17_Scaf1__whole_genome_shotgun_sequence_gene_15_gene_218-10920-182919-cat_5,4dcf9bbc8706f0f171f85c83d018e21d,0.20569436374201047,35400,0,646400,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.8016713141478515,0.9274623836344749,0.8645668488911632,0.9274623836344749,False,7154,7154,830866
18300,0.004981625153123724,0.1984815618221258,0.004981625153123724,0.006016613990703676,27.316939890710383,8.0,54.54699770786419,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_124392	ERR525867_76 length_87495_VirSorter_cat_2,445e3737f0c9fbe91da9d2e8d16677c0,0.1984815618221258,18300,1,628100,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7768747427377914,0.9258872491827381,0.8513809959602647,0.9258872491827381,False,4999,12153,830866
11300,0.003076085477065469,0.07588985896574882,0.003076085477065469,0.0031461150173433504,23.13274336283186,4.0,69.1392726051393,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_195997	ERR912142_48 length_141136_VirSorter_cat_2,eae76b1a99199acb14ad12990083bf5f,0.07588985896574882,11300,2,616800,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7592431391891238,0.8844543381946508,0.8218487386918873,0.8844543381946508,False,2614,14767,830866
11000,0.0029944194909486866,0.09113504556752279,0.0029944194909486866,0.0009893292059128668,7.472727272727273,2.0,18.2042497989838,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_568287	SRR5580191_19 length_119423_VirSorter_cat_2,737756e3d9e58fe1b039133c0c74180e,0.09113504556752279,11000,3,605800,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7582709384031296,0.8921979278357154,0.8252344331194226,0.8921979278357154,False,822,15589,830866
10300,0.0028038655233428612,0.14051841746248295,0.0028038655233428612,0.0026683003035387174,21.524271844660195,6.0,51.643446122256506,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_216305	ERR1018212_143 length_73761_VirSorter_cat_2,a01f8c623aa75ea24d5da9a5c23430f1,0.14051841746248295,10300,4,595500,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.755900491354575,0.9107849991168376,0.8333427452357063,0.9107849991168376,False,2217,17806,830866
10300,0.0028038655233428612,0.08527131782945736,0.0026949775418538178,0.002322877575926804,19.494949494949495,4.0,72.1889179409298,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_439693	SRR5032338_33 length_120569_VirSorter_cat_2,737e6f0b85ccd3a91d41909bf55fee03,0.08871662360034453,9900,5,585600,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.755900491354575,0.891056002733644,0.8234782470441095,0.891056002733644,False,1930,19736,830866
8700,0.0023683135973866887,0.19247787610619468,0.0023683135973866887,0.0011084819934863142,10.586206896551724,3.0,25.13711901310556,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_11819	ERR209354_45 length_45682_VirSorter_cat_2,823f08f068233365ad3e6f638006ed82,0.19247787610619468,8700,6,576900,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7498481004589483,0.9245340191475913,0.8371910598032698,0.9245340191475913,False,921,20657,830866
8600,0.0023410916020144275,0.06448979591836734,0.002150537634408602,0.003798446440220204,39.949367088607595,4.0,110.80772476090297,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_236303	ERR1190589_55 length_127851_VirSorter_cat_2,451ce1b73fdfe4bc198fb5203e7fed6a,0.07020408163265306,7900,7,569000,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7494354111739698,0.8811804928988118,0.8153079520363908,0.8811804928988118,False,3156,23813,830866
7800,0.0021233156390363414,0.05527638190954774,0.0020960936436640806,0.000499478856999805,5.3896103896103895,2.0,7.50957111223818,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_439801	SRR5032294_18 length_135609_VirSorter_cat_2,a9712bd01102b6eddba2b2813d0ea4f4,0.05599425699928212,7700,8,561300,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7459590358839794,0.8717416277060338,0.8088503317950066,0.8717416277060338,False,415,24228,830866
7500,0.002041649652919559,0.06793478260869565,0.002041649652919559,0.0005849318662696512,6.48,3.0,11.233711170698072,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_476309	SRR5106303_36 length_109465_VirSorter_cat_2,d84613932868337510c3759b53140323,0.06793478260869565,7500,9,553800,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7445671434379366,0.8798028052307323,0.8121849743343345,0.8798028052307323,False,486,24714,830866
6900,0.0018783176806859943,0.10391566265060241,0.0018783176806859943,0.00046818620571788955,5.63768115942029,1.0,11.753471290499737,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_453345	SRR5056775_361 length_63341_VirSorter_cat_2,f6f83c1c4a54f5599cd5d112f241d002,0.10391566265060241,6900,10,546900,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.741616661674929,0.8977910802064122,0.8197038709406705,0.8977910802064122,False,389,25103,830866
7200,0.001959983666802777,0.1278825995807128,0.001660541717707908,0.0006571456769202254,8.950819672131148,3.0,14.31430126270972,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_209272	ERR911965_425 length_45990_VirSorter_cat_2,f5b0e2f03f688d06b42e460e5ad134e6,0.1509433962264151,6100,11,540800,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7431211818774591,0.9138941773837129,0.828507679630586,0.9138941773837129,False,546,25649,830866
5900,0.0016060977269633863,0.10766423357664233,0.0016060977269633863,0.0004802218408263186,6.762711864406779,3.0,11.166443348379604,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_210571	ERR912122_186-Pro length_82342_VirSorter_cat_5,7267c18b7b18c2b58ed4f6e37b99e2c9,0.10766423357664233,5900,12,534900,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7361079739031661,0.8993073945997093,0.8177076842514377,0.8993073945997093,False,399,26048,830866
5800,0.0015788757315911256,0.08226950354609928,0.0015788757315911256,0.0010362681828357402,14.844827586206897,4.5,20.524839219108966,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_271795	ERR1293613_28 length_71029_VirSorter_cat_2,a354f3dc52869ab392f2fab4baadb5af,0.08226950354609928,5800,13,529100,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7355090106392719,0.8878604454246355,0.8116847280319537,0.8878604454246355,False,861,26909,830866
5800,0.0015788757315911256,0.42028985507246375,0.0015788757315911256,0.02945480980085838,421.94827586206895,26.5,1354.5596615265636,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_505586	SRR5155963_93 length_14994_VirSorter_cat_2,5230b0d7ea53403c2f6532fc8d228db1,0.42028985507246375,5800,14,523300,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7355090106392719,0.9595635831279218,0.8475362968835969,0.9595635831279218,False,24473,51382,830866
5500,0.0014972097454743433,0.08928571428571429,0.0014972097454743433,0.0004958681664672763,7.490909090909091,2.0,9.753083852202808,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_524277	SRR6054506_8-Pro length_140964_VirSorter_cat_5,d559999ad2e0a03164267bd3d1dc02d7,0.08928571428571429,5500,15,517800,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7336512296361603,0.8913273585106487,0.8124892940734045,0.8913273585106487,False,412,51794,830866
5400,0.0014699877501020825,0.048824593128390596,0.0014699877501020825,0.0002334913211035233,3.5925925925925926,3.0,3.313935327150746,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_300687	ERR1913013_3-Pro length_333643_VirSorter_cat_5,1f579938a87bfc9d8172cbb51fd81113,0.048824593128390596,5400,16,512400,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7330104682751579,0.8660724436534308,0.7995414559642944,0.8660724436534308,False,194,51988,830866
16400,0.004464407241050769,0.056712962962962965,0.0013338777732407785,0.0013467875686332092,22.836734693877553,3.0,58.44597957185153,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_361489	SRR1765314_2 length_83503_VirSorter_cat_2,8ea9b6d8a59c4a7536dfc983adabfc47,0.18981481481481483,4900,17,507500,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7728300326046618,0.9239208479698336,0.8483754402872477,0.9239208479698336,False,1119,53107,830866
4900,0.0013338777732407785,0.04833836858006042,0.0013066557778685177,0.000450132753055246,7.791666666666667,3.5,12.690150927217356,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_56232	ERR321597_33-Pro length_177167_VirSorter_cat_5,751ea63ae3bcb2a608f4773b97c3407e,0.04934541792547835,4800,18,502700,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7296267762804116,0.8665101587578922,0.7980684675191518,0.8665101587578922,False,374,53481,830866
4900,0.0013338777732407785,0.050686378035902854,0.0013066557778685177,0.0005728962311612221,9.916666666666666,2.5,14.289905139254387,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_469175	SRR5091603_68 length_90998_VirSorter_cat_2,b546fcb1131330d70be471d53553b938,0.05174234424498416,4800,19,497900,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7296267762804116,0.8684695105707553,0.7990481434255834,0.8684695105707553,False,476,53957,830866
4700,0.001279433782496257,0.07378335949764521,0.001279433782496257,0.0017692383609390684,31.27659574468085,5.0,62.611501264054546,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_209648	ERR912052_388 length_61909_VirSorter_cat_2,3ae0725287c68135b5dfa74dc2fbe173,0.07378335949764521,4700,20,493200,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7281803302559966,0.8832695492196488,0.8057249397378228,0.8832695492196488,False,1470,55427,830866
4100,0.0011161018102626922,0.09131403118040089,0.0011161018102626922,0.00021784499546256557,4.414634146341464,3.0,3.3999685059954388,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_473704	SRR5091556_886 length_42595_VirSorter_cat_2,e69b8a8dbe960a09192f790ae3da8f81,0.09131403118040089,4100,21,489100,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7234599054222218,0.892281289963616,0.8078705976929189,0.892281289963616,False,181,55608,830866
4100,0.0011161018102626922,0.026804123711340205,0.0010616578195181707,0.00045253988007693175,9.64102564102564,2.0,24.715288717390255,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_105971	ERR505104_17 length_141862_VirSorter_cat_2,7c65c0f0b27c7596c6172ea0c6662268,0.028178694158075602,3900,22,485200,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7234599054222218,0.8436973942213227,0.7835786498217723,0.8436973942213227,False,376,55984,830866
7800,0.0021233156390363414,0.042391304347826085,0.0010616578195181707,0.005394371655597894,114.92307692307692,4.0,490.4347827531427,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_516991	SRR6028257_5-Pro length_144871_VirSorter_cat_5,f2e59bc51ddfa6abde479178b4c2644d,0.08478260869565217,3900,23,481300,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7459590358839794,0.8891335323022374,0.8175462840931084,0.8891335323022374,False,4482,60466,830866
3800,0.00103443582414591,0.10326086956521739,0.00103443582414591,0.0017439635272113675,38.13157894736842,2.0,120.57584881956899,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_358674	SRR1197545_233 length_34713_VirFinder_VirSorter_cat_2,4493e1fbaf4956adc1f7260d4ad74f97,0.10326086956521739,3800,24,477500,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7208468853814153,0.8975208800491977,0.8091838827153065,0.8975208800491977,False,1449,61915,830866
3500,0.0009527698380291275,0.04481434058898848,0.0009527698380291275,0.0007823162820478873,18.571428571428573,4.0,33.215560651413895,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_226465	ERR1190680_127 length_71969_VirSorter_cat_2,c316cfa807fde38abfad235ce80f42a2,0.04481434058898848,3500,25,474000,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7180294971415989,0.8625450008077578,0.7902872489746784,0.8625450008077578,False,650,62565,830866
5300,0.0014427657547298218,0.08254716981132075,0.0009527698380291275,0.0003827331964480434,9.085714285714285,5.0,11.581688573091647,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_239838	ERR1190580_185-Pro length_64489_VirSorter_cat_5,e4d40bc011f0cd6c1b88c889b7dcf51d,0.125,3500,26,470500,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7323583047939765,0.9057236642639067,0.8190409845289416,0.9057236642639067,False,318,62883,830866
3600,0.0009799918334013884,0.0341796875,0.0009527698380291275,0.0008436980211008754,20.02857142857143,5.0,31.37285971234711,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_276754	ERR1293575_4-Pro length_207186_VirSorter_cat_4,b5c68ce11528520445b7f4c115563c7a,0.03515625,3500,27,467000,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.7189933587606744,0.8526327810916198,0.7858130699261471,0.8526327810916198,False,701,63584,830866
3900,0.0010616578195181707,0.03858875413450937,0.0009527698380291275,0.00045855769763114627,10.885714285714286,4.0,15.722179835363486,/group/ctbrowngrp/virus-references/gut-phage-db/GPD_sequences.zip,uvig_291293	ERR1578634_28-Pro length_249950_VirSorter_cat_4,f405b1ea353d27940b4077ba0c128c85,0.04299889746416759,3500,28,463500,outputs.gather_virome/trim/SM_CTTKX.trim.fq.gz,SM_CTTKX,a5f2aad6,3673500,21,DNA,100,36735,True,0.721739072694794,0.8608481273240028,0.7912936000093984,0.8608481273240028,False,381,63965,830866
